PromQL,Read Response
"net_conntrack_dialer_conn_attempted_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} or prometheus_http_response_size_bytes_count{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""net_conntrack_dialer_conn_attempted_total"",""dialer_name"":""default"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""__name__"":""net_conntrack_dialer_conn_attempted_total"",""dialer_name"":""prometheus"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]},{""metric"":{""__name__"":""net_conntrack_dialer_conn_attempted_total"",""dialer_name"":""remote_storage"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""2""]},{""metric"":{""__name__"":""prometheus_http_response_size_bytes_count"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]},{""metric"":{""__name__"":""prometheus_http_response_size_bytes_count"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]}]}}"
"net_conntrack_dialer_conn_attempted_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} unless prometheus_http_response_size_bytes_count{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""net_conntrack_dialer_conn_attempted_total"",""dialer_name"":""default"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""__name__"":""net_conntrack_dialer_conn_attempted_total"",""dialer_name"":""prometheus"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]},{""metric"":{""__name__"":""net_conntrack_dialer_conn_attempted_total"",""dialer_name"":""remote_storage"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""2""]}]}}"
"prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]}]}}"
"prometheus_http_requests_total{handler=""/api/v1/query"", job=""prometheus"", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]}]}}"
"prometheus_http_requests_total{handler!=""/api/v1/query"", job=""prometheus"", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]}]}}"
"prometheus_http_requests_total{code!~""4.."", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]}]}}"
"prometheus_http_requests_total{code=~""2.."", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]}]}}"
"prometheus_http_requests_total{handler!=""/api/v1/query"", job=""prometheus"", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m]","{""status"":""success"",""data"":{""resultType"":""matrix"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604951.126,""1""],[1604604966.126,""2""],[1604604981.126,""3""],[1604604996.126,""4""],[1604605011.126,""5""],[1604605026.126,""6""],[1604605041.127,""7""],[1604605056.127,""8""],[1604605071.127,""9""],[1604605086.128,""10""],[1604605101.128,""11""],[1604605116.128,""12""]]}]}}"
"prometheus_http_requests_total{handler=""/api/v1/query"", job=""prometheus"", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m]","{""status"":""success"",""data"":{""resultType"":""matrix"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604936.125,""3""],[1604604951.126,""5""],[1604604966.126,""6""],[1604604981.126,""7""],[1604604996.126,""7""],[1604605011.126,""7""],[1604605026.126,""7""],[1604605041.127,""7""],[1604605056.127,""7""],[1604605071.127,""7""],[1604605086.128,""7""],[1604605101.128,""8""],[1604605116.128,""8""]]}]}}"
"prometheus_http_requests_total{code!~""4.."", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m]","{""status"":""success"",""data"":{""resultType"":""matrix"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604936.125,""3""],[1604604951.126,""5""],[1604604966.126,""6""],[1604604981.126,""7""],[1604604996.126,""7""],[1604605011.126,""7""],[1604605026.126,""7""],[1604605041.127,""7""],[1604605056.127,""7""],[1604605071.127,""7""],[1604605086.128,""7""],[1604605101.128,""8""],[1604605116.128,""8""]]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604951.126,""1""],[1604604966.126,""2""],[1604604981.126,""3""],[1604604996.126,""4""],[1604605011.126,""5""],[1604605026.126,""6""],[1604605041.127,""7""],[1604605056.127,""8""],[1604605071.127,""9""],[1604605086.128,""10""],[1604605101.128,""11""],[1604605116.128,""12""]]}]}}"
"prometheus_http_requests_total{code=~""2.."", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m]","{""status"":""success"",""data"":{""resultType"":""matrix"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604936.125,""3""],[1604604951.126,""5""],[1604604966.126,""6""],[1604604981.126,""7""],[1604604996.126,""7""],[1604605011.126,""7""],[1604605026.126,""7""],[1604605041.127,""7""],[1604605056.127,""7""],[1604605071.127,""7""],[1604605086.128,""7""],[1604605101.128,""8""],[1604605116.128,""8""]]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604951.126,""1""],[1604604966.126,""2""],[1604604981.126,""3""],[1604604996.126,""4""],[1604605011.126,""5""],[1604605026.126,""6""],[1604605041.127,""7""],[1604605056.127,""8""],[1604605071.127,""9""],[1604605086.128,""10""],[1604605101.128,""11""],[1604605116.128,""12""]]}]}}"
"prometheus_http_requests_total{handler!=""/api/v1/query"", job=""prometheus"", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} offset 5m","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[]}}"
"prometheus_http_requests_total{handler=""/api/v1/query"", job=""prometheus"", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} offset 5m","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[]}}"
"prometheus_http_requests_total{code!~""4.."", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} offset 5m","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[]}}"
"prometheus_http_requests_total{code=~""2.."", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} offset 5m","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[]}}"
"prometheus_http_requests_total{handler!=""/api/v1/query"", job=""prometheus"", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m] offset 5m","{""status"":""success"",""data"":{""resultType"":""matrix"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604276.126,""1""]]}]}}"
"prometheus_http_requests_total{handler=""/api/v1/query"", job=""prometheus"", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m] offset 5m","{""status"":""success"",""data"":{""resultType"":""matrix"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604261.125,""1""],[1604604276.126,""2""]]}]}}"
"prometheus_http_requests_total{code!~""4.."", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m] offset 5m","{""status"":""success"",""data"":{""resultType"":""matrix"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604261.125,""1""],[1604604276.126,""2""]]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604276.126,""1""]]}]}}"
"prometheus_http_requests_total{code=~""2.."", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m] offset 5m","{""status"":""success"",""data"":{""resultType"":""matrix"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604261.125,""1""],[1604604276.126,""2""]]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604276.126,""1""]]}]}}"
